date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:09	24873/24873	---M-Z	200	added ('OK')	text/html	etag:%225816f5-6129-365a144d3c040%22	https://www.nyu.edu/classes/stephens/Top%20100%20NY%20Times%20page.htm	www.nyu.edu/classes/stephens/Top%20100%20NY%20Times%20page.html	(from https://www.nyu.edu/classes/stephens/Top%20100%20page.htm)
11:50:11	39255/39255	---M--	200	added ('OK')	image/jpeg	etag:%2258173a-9957-38d951ab75d00%22	https://www.nyu.edu/classes/stephens/world_map_now.JPG	www.nyu.edu/classes/stephens/world_map_now.jpg	(from https://www.nyu.edu/classes/stephens/Map.htm)
11:50:13	208328/208328	---M--	200	added ('OK')	image/jpeg	etag:%2232dc8-365a1443b29c0%22	https://www.nyu.edu/classes/stephens/Tikkun1.jpg	www.nyu.edu/classes/stephens/Tikkun1.jpg	(from https://www.nyu.edu/classes/stephens/Tikkun%20page.htm)
11:50:13	197255/197255	---M--	200	added ('OK')	image/jpeg	etag:%2230287-365a14459ae40%22	https://www.nyu.edu/classes/stephens/Tikkun2.jpg	www.nyu.edu/classes/stephens/Tikkun2.jpg	(from https://www.nyu.edu/classes/stephens/Tikkun%20page.htm)
11:50:15	154386/154386	---M--	200	added ('OK')	image/jpeg	etag:%2225b12-365a144a5f980%22	https://www.nyu.edu/classes/stephens/Tikkun4.jpg	www.nyu.edu/classes/stephens/Tikkun4.jpg	(from https://www.nyu.edu/classes/stephens/Tikkun%20page.htm)
11:50:15	2358/2358	---M-Z	200	added ('OK')	text/html	etag:%225816d7-936-365a143288140%22	https://www.nyu.edu/classes/stephens/Personal%20data.htm	www.nyu.edu/classes/stephens/Personal%20data.html	(from https://www.nyu.edu/classes/stephens/Bio%20-%20Frame%202.htm)
11:50:15	236861/236861	---M--	200	added ('OK')	image/jpeg	etag:%2239d3d-365a14468f080%22	https://www.nyu.edu/classes/stephens/Tikkun3.jpg	www.nyu.edu/classes/stephens/Tikkun3.jpg	(from https://www.nyu.edu/classes/stephens/Tikkun%20page.htm)
11:50:17	30901/30901	---M--	200	added ('OK')	image/jpeg	etag:%2278b5-365a146bc0840%22	https://www.nyu.edu/classes/stephens/my%20photo.jpg	www.nyu.edu/classes/stephens/my%20photo.jpg	(from https://www.nyu.edu/classes/stephens/bio%20-%20text%20page.htm)
11:50:17	1582/1582	---M-Z	200	added ('OK')	text/html	etag:%22581710-62e-3899bf20ce700%22	https://www.nyu.edu/classes/stephens/dawn.html	www.nyu.edu/classes/stephens/dawn.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:18	21351/21351	---M--	200	added ('OK')	image/jpeg	etag:%2258171b-5367-382d4cd68b140%22	https://www.nyu.edu/classes/stephens/leaving_frame2.JPG	www.nyu.edu/classes/stephens/leaving_frame2.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:19	1676/1676	---M-Z	200	added ('OK')	text/html	etag:%22581690-68c-38992d0b6bf80%22	https://www.nyu.edu/classes/stephens/FAST.html	www.nyu.edu/classes/stephens/FAST.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:20	14879/14879	---M--	200	added ('OK')	image/jpeg	etag:%22581713-3a1f-389a6e3a5c3c0%22	https://www.nyu.edu/classes/stephens/fast_frame.JPG	www.nyu.edu/classes/stephens/fast_frame.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
